Ticker,Entry Date,Entry Price,Current Price,Total Return %,Annualized %,Years Held,SMI,Stoch Avg,RSI,Signal
LGND,2008-12-31,10.26,255.54,2391.7,20.2,17.4,-35.48,10.1,40.36,Stoch %K > %D
MRCY,2008-12-31,6.31,120.3,1806.5,18.4,17.4,-29.48,14.05,41.14,Stoch %K > %D
EWBC,2008-12-31,11.43,132.63,1060.8,15.1,17.4,-32.97,12.2,42.89,"Stoch %K > %D, RSI > Signal"
BJRI,2008-12-31,10.48,52.62,402.1,9.7,17.4,-32.5,12.8,42.49,Stoch %K > %D
COLM,2008-12-31,13.53,66.99,395.1,9.6,17.4,-26.72,17.41,44.43,Stoch %K > %D
CMCSA,2008-12-31,5.36,24.5,357.1,9.1,17.4,-22.62,22.91,43.64,Stoch %K > %D
ALKS,2008-12-31,10.65,44.28,315.8,8.5,17.4,-25.25,20.0,44.27,Stoch %K > %D
TRMK,2008-12-31,11.83,45.91,288.0,8.1,17.4,-19.13,24.11,47.69,"Stoch %K > %D, RSI > Signal"
UFCS,2008-12-31,18.56,48.44,161.0,5.7,17.4,-10.52,25.87,53.51,RSI > Signal
HOPE,2008-12-31,5.83,13.19,126.3,4.8,17.4,-29.06,16.61,43.85,Stoch %K > %D
VTRS,2008-12-31,7.96,16.48,107.1,4.3,17.4,-32.83,13.92,35.58,Stoch %K > %D
PRDO,2008-12-31,16.85,34.04,102.1,4.1,17.4,-31.35,13.97,44.96,"Stoch %K > %D, RSI > Signal"
JBLU,2008-12-31,7.1,5.01,-29.4,-2.0,17.4,-35.12,12.03,45.13,RSI > Signal
ULBI,2008-12-31,13.41,6.58,-50.9,-4.0,17.4,-19.53,26.11,52.05,RSI > Signal
