Ticker,Price,Quarter,Qtrs,SMI,Stoch %K,Stoch %D,Stoch Avg,RSI,RSI Sig,Crossover
BOIL,13.3,2026-06-30,59,-99.1,0.04,0.03,0.03,22.54,22.54,Stoch %K > %D
SSG,17.9,2026-06-30,78,-98.99,0.1,0.08,0.09,26.98,26.98,Stoch %K > %D
SOXS,12.98,2026-06-30,66,-98.96,0.03,0.03,0.03,16.88,16.88,Stoch %K > %D
JDST,35.94,2026-06-30,51,-97.63,0.49,0.35,0.42,9.08,9.08,Stoch %K > %D
ZSL,21.52,2026-06-30,71,-97.21,0.58,0.55,0.57,21.11,21.36,Stoch %K > %D
DUST,54.54,2026-06-30,63,-96.62,0.82,0.54,0.68,38.83,38.84,Stoch %K > %D
TECS,11.24,2026-06-30,71,-96.54,0.53,0.42,0.48,6.74,6.74,Stoch %K > %D
HIBS,29.36,2026-06-30,27,-96.44,0.42,0.4,0.41,27.92,27.97,Stoch %K > %D
SQQQ,50.22,2026-06-30,66,-96.28,0.65,0.51,0.58,16.15,16.15,Stoch %K > %D
SPXU,41.81,2026-06-30,69,-94.89,1.32,0.96,1.14,15.43,15.42,Stoch %K > %D
SPXS,29.8,2026-06-30,71,-94.77,1.35,0.98,1.16,14.84,14.83,Stoch %K > %D
QID,16.61,2026-06-30,80,-93.0,1.72,1.34,1.53,21.85,21.86,Stoch %K > %D
EDZ,20.02,2026-06-30,71,-92.17,1.9,1.48,1.69,13.78,13.9,Stoch %K > %D
UNG,10.71,2026-06-30,77,-88.14,1.46,1.34,1.4,30.19,30.47,Stoch %K > %D
DUG,18.02,2026-06-30,78,-84.6,3.93,3.8,3.87,35.45,35.72,Stoch %K > %D
ERY,11.04,2026-06-30,71,-84.39,4.05,3.93,3.99,27.07,27.17,Stoch %K > %D
EUM,16.97,2026-06-30,75,-81.76,6.59,6.09,6.34,30.55,34.41,Stoch %K > %D
EUO,28.94,2026-06-30,71,-53.68,21.23,17.24,19.23,51.0,50.25,Stoch %K > %D
