Ticker,Price,Quarter,Qtrs,SMI,Stoch %K,Stoch %D,Stoch Avg,RSI,RSI Sig,Crossover
GDXD,35.48,2026-06-30,23,-49.52,0.04,0.04,0.04,35.17,35.22,Stoch %K > %D
CHPT,7.59,2026-06-30,28,-48.84,0.43,0.39,0.41,43.76,43.77,Stoch %K > %D
BNED,10.36,2026-06-30,44,-48.3,1.26,1.06,1.16,34.5,34.44,RSI > Signal
SPCE,6.18,2026-06-30,36,-48.15,1.32,0.8,1.06,38.79,38.41,RSI > Signal
MED,12.53,2026-06-30,81,-48.0,1.31,1.0,1.15,36.55,36.17,"Stoch %K > %D, RSI > Signal"
AGL,92.28,2026-06-30,21,-44.32,4.11,2.08,3.09,25.59,21.23,"Stoch %K > %D, RSI > Signal"
DEO,82.46,2026-06-30,81,-43.99,4.62,2.65,3.64,36.8,36.2,RSI > Signal
HPP,11.98,2026-06-30,65,-43.71,3.63,2.94,3.29,32.1,31.11,"Stoch %K > %D, RSI > Signal"
AMN,28.97,2026-06-30,81,-43.13,6.02,3.71,4.87,40.24,35.24,Stoch %K > %D
DV,9.7,2026-06-30,21,-43.12,7.28,6.94,7.11,33.49,34.25,Stoch %K > %D
TDOC,7.61,2026-06-30,45,-43.02,5.29,3.25,4.27,36.96,36.38,RSI > Signal
CLW,16.3,2026-06-30,71,-42.88,5.59,4.57,5.08,38.76,39.9,Stoch %K > %D
BBBY,6.13,2026-06-30,81,-42.67,5.23,7.21,6.22,43.18,43.09,RSI > Signal
MAGN,11.37,2026-06-30,81,-42.2,5.97,4.44,5.2,33.98,33.63,RSI > Signal
AVTR,9.12,2026-06-30,29,-41.94,5.17,5.04,5.11,40.44,41.48,Stoch %K > %D
ASPN,6.4,2026-06-30,49,-41.37,5.68,4.71,5.2,44.88,43.17,"Stoch %K > %D, RSI > Signal"
BAX,18.78,2026-06-30,81,-41.31,5.28,4.44,4.86,33.09,33.5,Stoch %K > %D
RHI,29.44,2026-06-30,81,-41.24,8.41,5.12,6.76,38.51,37.56,RSI > Signal
OEC,7.64,2026-06-30,48,-40.74,9.0,5.71,7.36,39.78,38.46,RSI > Signal
SAFE,14.97,2026-06-30,81,-40.11,3.61,2.69,3.15,38.42,37.72,"Stoch %K > %D, RSI > Signal"
